arxiv_id;title;summary;file_path;author_full_name;author_title
'2511.08668';'Bridging scales: How much do supermassive black holes grow in the suppressed Bondi regime?';'The co-evolution of supermassive black holes (SMBHs) and their host galaxies remains one of the central open questions in cosmology, rooted in the coupling between accretion, feedback, and the multi-scale physics that links the event horizon to the circumgalactic medium. Here we bridge these scales by embedding a first-principles, GRMHD-informed prescription for black hole accretion and feedback--derived from multi-zone simulations that self-consistently connect inflows and outflows from the horizon to the Bondi radius--within cosmological magnetohydrodynamic zoom-in simulations of ∼1014M⊙ halos. These GRMHD results predict a "suppressed Bondi" regime in which magnetic stresses and relativistic winds strongly reduce effective accretion rates in a spin-dependent manner. We find that black holes cannot grow efficiently by accretion until they exceed ∼107M⊙, regardless of the feedback strength. Beyond this threshold, systems bifurcate: low-spin (η∼0.02) black holes continue to accrete without quenching star formation, while high-spin (η≳0.3) black holes quench effectively but become starved of further growth. Early, massive seeding partially alleviates this tension through merger-driven assembly, yet an additional cold or super-Eddington accretion mode appears essential to reproduce the observed SMBH population and the empirical black hole--galaxy scaling relations. Our results demonstrate that GRMHD-informed feedback models can account for the maintenance-mode behavior of low-luminosity AGN like M87*, but cannot by themselves explain the full buildup of SMBH mass across cosmic time. A unified, multi-regime framework is required to capture the evolving interplay between spin-dependent feedback, cold inflows, and mergers in driving co-evolution.';'data/articles/2511.08668v1.pdf';'Kung-Yi Su';'PhD Student'
'2511.08671';'JWST/NIRSpec Reveals a Small Population of Dominant Dust-Obscured Ionizing Sources in Galaxies at 1 < z < 3';'Rest-frame optical emission line diagnostics are often used to help classify ionizing sources within galaxies. However, rest-frame optical tracers can miss sources with high dust attenuation, leading to misclassification of the dominant ionizing source. Longer wavelength tracers, such as those in the near-infrared, carry the power to diagnose ionizing sources while being more robust than optical tracers to the presence of dust. The diagnostics used in this work employ the ratios of bright near-infrared emission lines [S III] 9530, [Fe II] 12566 and [Fe II] 16443 to Paschen lines in publicly-available JWST/NIRSpec MSA medium-resolution spectroscopy of 55 galaxies at z < 3. We compare the rest-frame near-infrared and rest-frame optical diagnostics and find that ~90% of our sample have consistent classifications across wavelengths (49/55), while the remaining sources can be explained through ionizing radiation obscured by dust and/or elevated N/Fe abundances. We identify three objects classified as star-forming in the rest frame optical and as active galactic nuclei (AGN) in the rest-frame near-infrared, which we interpret as obscured AGN. We also identify three objects which are classified as AGN in the rest-frame optical and star forming in the rest-frame near-infrared. We interpret two of these objects as AGN with obscured star formation and the other with elevated N/Fe. We discuss how future spatially-resolved and/or mid-infrared spectroscopy can test the relative contributions of AGN and stars to the ionizing photon budgets of these disagreeing sources.';'data/articles/2511.08671v1.pdf';'Si-Rui Ge';'Professor'
'2511.08674';'Where Giants Dwell: Probing the Environments of Early Massive Quiescent Galaxies';'We investigate the environments of massive quiescent galaxies at 3 < z < 5 using the GAlaxy Evolution and Assembly (GAEA) theoretical model. We select galaxies with stellar mass ~10^10.8 Msun and specific star formation rate below 0.3x t_Hubble, yielding in a sample of about 5,000 galaxies within a simulated volume of ~685 Mpc. These galaxies have formation times that cover well the range inferred from recent observational data, including a few rare objects with very short formation time-scales and early formation epochs. Model high-z quiescent galaxies are alpha-enhanced and exhibit a wide range of stellar metallicity, in broad agreement with current observational estimates. Massive high-z quiescent galaxies in our model occupy a wide range of environments, from void-like regions to dense knots at the intersections of filaments. Quiescent galaxies in underdense regions typically reside in halos that collapsed early and grew rapidly at high redshift, though this trend becomes difficult to identify observationally due to large intrinsic scatter in star formation histories. The descendants of high-z massive quiescent galaxies display a broad distribution in mass and environment by z=0, reflecting the stochastic nature of mergers. About one-third of these systems remain permanently quenched, while most rejuvenation events are merger-driven and more common in overdense regions. Our results highlight the diversity of early quiescent galaxies and caution against assuming that all such systems trace the progenitors of present day most massive clusters.';'data/articles/2511.08674v1.pdf';'Gabriella De Lucia';'Postdoctoral Researcher'
'2511.09617';'Is a 1D perturbative method sufficient for asteroseismic modelling of β Cephei pulsators? Implications for measurements of rotation and internal magnetic fields'; 'Asymmetries in the observed rotational splittings of a multiplet contain information about the star's rotation profile and internal magnetic field. However, to exploit this information, highly accurate theoretical predictions are needed. We aim to quantify the difference in the predicted mode asymmetries between a 1D perturbative method, and a 2D method that includes a 2D stellar structure model, which takes rotation into account. We then put these differences in the context of asteroseismic measurements of internal magnetic fields. We couple the 1D pulsation codes GYRE and StORM to the 2D stellar structure code ESTER and compare the oscillation predictions with the results from the 2D TOP pulsation code. We focus on ZAMS models representative of rotating β~Cephei pulsators, going up to 20% of the critical rotation rate. We find a generally good agreement between the oscillation frequencies resulting from the 1D and 2D pulsation codes. Since the magnetic asymmetries are small compared to the differences in the rotational asymmetries resulting from the 1D and 2D predictions, accurate measurements of the magnetic field are in most cases challenging. Differences in the predicted mode asymmetries between 1D perturbative methods and 2D non-perturbative methods can greatly hinder accurate measurements of internal magnetic fields in main-sequence pulsators with low-order modes. Nevertheless, reasonably accurate measurements could be possible with npg≥2 modes if the internal rotation is roughly below 10% of the critical rotation frequency for (aligned) magnetic fields on the order of a few hundred kG. While the differences between the 1D and 2D predictions are mostly too large for internal magnetic field detections, the rotational asymmetries predicted by StORM are in general accurate enough for asteroseismic modelling of the stellar rotation in main-sequence stars.';'data/articles/2511.09617v1.pdf';'J.S.G.Mombarg';'Professor'
'2511.09626';'Changing-Look AGN Powered By Disk Tearing';'Changing-look active galactic nuclei (CLAGN) feature order-of-magnitude variability in both the continuum and broad line luminosities on months-to-years long timescales, and are currently unexplained. Simulations have demonstrated that rotating black holes sometimes tear apart tilted accretion disks. These tearing events violently restructure the disk on timescales much shorter than a viscous timescale, hinting at a connection to CLAGN. Here, we show that disk tearing can power changing-look events. We report synthetic observations of an extremely high resolution three-dimensional general-relativistic magnetohydrodynamic simulation of a geometrically thin, tilted accretion disk around a rapidly rotating, 108M⊙ black hole. We perform ray-tracing calculations that follow the disk light to both a line of sight camera and to a distribution of cameras in a prescribed torus-like broad line region. The continuum photoionizes the broad line region and we calculate the resulting spectrum. Both the continuum and line luminosities undergo order of magnitude swings on months-to-years long timescales. We find shorter, weeks long variability driven by the geometric precession of the inner disk and an intraday quasi-periodic oscillation driven by radial breathing of the inner disk. When the torn disk precesses, it causes asymmetric illumination of the broad line region, driving time-evolving red-to-blue asymmetries of the broad emission lines that may be a smoking gun for disk tearing. We also make predictions for future photometric observations from ULTRASAT and Vera Rubin Observatory, both of which may play an important role in detecting future changing-look events.';'data/articles/2511.09626v1.pdf';'Nicholas Kaaz';'Postdoctoral Researcher'
'2511.09628';'A Submillimeter Survey of CS Excitation in Protoplanetary Disks: Evidence of X-ray-Driven Sulfur Chemistry';'The sulfur chemistry in protoplanetary disks influences the properties of nascent planets, including potential habitability. Although the inventory of sulfur molecules in disks has gradually increased over the last decade, CS is still the most commonly-observed sulfur-bearing species and it is expected to be the dominant gas-phase sulfur carrier beyond the water snowline. Despite this, few dedicated multi-line observations exist, and thus the typical disk CS chemistry is not well constrained. Moreover, it is unclear how that chemistry - and in turn, the bulk volatile sulfur reservoir - varies with stellar and disk properties. Here, we present the largest survey of CS to date, combining both new and archival observations from ALMA, SMA, and NOEMA of 12 planet-forming disks, covering a range of stellar spectral types and dust morphologies. Using these data, we derived disk-integrated CS gas excitation conditions in each source. Overall, CS chemistry appears similar across our sample with rotational temperatures of ≈10-40 K and column densities between 1012-1013 cm−2. CS column densities do not show strong trends with most source properties, which broadly suggests that CS chemistry is not highly sensitive to disk structure or stellar characteristics. We do, however, identify a positive correlation between stellar X-ray luminosity and CS column density, which indicates that the dominant CS formation pathway is likely via ion-neutral reactions in the upper disk layers, where X-ray-enhanced S+ and C+ drive abundant CS production. Thus, using CS as a tracer of gas-phase sulfur abundance requires a nuanced approach that accounts for its emitting region and dependence on X-ray luminosity.';'data/articles/2511.09628v1.pdf';'Charles J.Law';'Postdoctoral Researcher'
'2511.09630';'Dark Photons in the Radio Sky: I. Resonant Conversions in Halos';'Mixing between dark photons and visible photons leads to substantial anisotropies in the cosmic microwave background due to resonant conversions of visible photons into dark photons in baryonic matter found in dark matter halos. In this Letter, we forecast the sensitivity of the Square Kilometre Array (SKA) to this signal. We find that SKA could be the first experiment to discover dark photons with a mass between 10−13 and 5×10−12 eV and kinetic mixing parameter ϵ as small as ∼10−8 by cross-correlating their data with a low-redshift galaxy survey, potentially improving on the sensitivity from a similar analysis using Planck data by a factor of 4 in ϵ. This improvement is largely due to an enhancement of the signal at low frequencies and the unique experimental advantages of radio telescopes such as small beam sizes.';'data/articles/2511.09630v1.pdf';'Ethan Baker';'PhD Student'
'2511.09636';'Prebiotic Chemistry Insights for Dragonfly: Thermodynamics of Amino Acid Synthesis in Selk Crater on Titan';'Saturnian moon Titan presents a compelling testbed for probing prebiotic chemistry beyond early Earth. Impact-generated melt pools provide transient aqueous habitats in an otherwise cryogenic environment. We use Cantera equilibrium models to assess whether mixtures of hydrogen cyanide (HCN), acetylene (C2H2), and ammonia (NH3) can drive amino acid synthesis in Selk-sized craters. Across twenty-one amino acids (twenty proteinogenic plus beta-alanine), NH3-free systems yield only proline, alanine, and beta-alanine, whereas adding as little as 1% NH3 (relative to H2O) renders almost the full suite accessible, with yields peaking at 2% and tapering thereafter. The NH3-free alanine result implies alternative pathways beyond classical Strecker or aminonitrile hydrolysis, suggesting acetylene, abundant on Titan but scarce on early Earth, as a plausible feedstock. We identify acrylonitrile (detected on Titan) as a thermodynamically favorable intermediate that can convert to alanine under aqueous conditions in an NH3-free pathway. For glycine and alanine production from nitrile hydrolysis, comparison with laboratory kinetics shows that our equilibrium models predict near-complete conversion, while observed rates yield only partial products over weeks. Yet estimated chemical equilibration times (years-centuries) are far shorter than melt lifetimes, supporting plausibility of equilibrium in situ. These predictions are directly testable with Dragonfly mass spectrometer (DraMS), for which we recommend pre-flight standards to test proline, alanine, beta-alanine, cysteine, and methionine. The first three offer the best chances for amino acid detection regardless of ammonia availability; the latter two offer diagnostic tools for determining the presence of reactive sulfur in post-impact Titan ponds.';'data/articles/2511.09636v1.pdf';'Ishaan Madan';'Postdoctoral Researcher'
'2511.09640';'The SEEDZ Simulations: Methodology and First Results on Massive Black Hole Seeding and Early Galaxy Growth';'Here we introduce the SEEDZ simulations, a suite of cosmological hydrodynamic simulations exploring the formation and growth of the first massive black holes in the Universe. SEEDZ includes models for Population III star formation, supernovae explosions and the resulting formation of light seed black holes, metal enrichment and subsequent Population II star formation, heavy seed black hole formation, Eddington and super-Eddington accretion schemes as well as black hole feedback. In this paper, we cover the overall methodologies employed and present our current results at z=15. Our main result so far is that black holes initially grow faster than their host galaxy, and hence over-massive black holes are a feature of the high-redshift Universe. The fundamental black hole-galaxy relationships we observe at z=0 (especially the MBH - M∗ relationship) likely only emerge in more mature galaxies. At high-redshift, that relationship has not yet been established. We find that even at these high redshifts, MBHs can grow from their initial heavy seed mass of ∼104 M⊙ up to 106 M⊙. At the high end of our MBH masses, our simulated galaxy MBH - M∗ relations match the observed high redshift trends i.e. over-massive BHs with MBH/Mstar∼10−2. This initial set of simulations will continue to run down to z=10, where we will perform a comprehensive comparison of simulated MBH number densities and MBH - M∗ relations with JWST observations. Further simulations with higher resolution will then follow.';'data/articles/2511.09640v1.pdf';'Lewis R.Prole';'Professor'
'2511.09641';'Chandra and HST Observations of Radio-Selected (Wandering) Massive Black Hole Candidates in Dwarf Galaxies';'We present Chandra X-ray Observatory and Hubble Space Telescope (HST) follow-up observations of 12 dwarf galaxies from Reines et al. (2020) that are potential hosts of radio-selected active galactic nuclei (AGNs), eight of which are non-nuclear and possible ``wandering" black holes (BHs). Our multi-wavelength analysis indicates a heterogeneous sample with five radio sources detected at both X-ray and optical wavelengths within positional uncertainties and non-detections for the remaining objects. Of the radio objects detected in the X-ray/optical, three have multi-wavelength evidence for hosting nuclear massive BHs and one object is consistent with an extreme compact starburst. Only one of the off-nuclear radio sources has a significant optical counterpart and we present Palomar spectroscopy that identifies this object as a background AGN. We cannot definitively determine if the seven remaining off-nuclear radio sources are wandering massive BHs in the target dwarf galaxies or background AGNs, although the three sources with the largest offsets have compact radio cores detected with the Very Large Baseline Array and are consistent with expectations for background AGNs (Sargent et al 2022). Our HST sensitivity limits also allow for wandering massive BHs in the target dwarf galaxies that are hosted by stellar clusters with masses ≲106M⊙.';'data/articles/2511.09641v1.pdf';'Megan R.Sturm';'PhD Student'
